caa3b0a9e14c1ec6	Find the five main islands of Japan. What are the names of these islands and names of their respective highest points?
50fa232e3f44887a	Identify the capital cities of the five most populous countries as of 2023. What are the major rivers flowing through these capital cities?
ca085ff48e269f74	Identify the presidents of the United States who served two terms and their respective political affiliations.
6d9fd37a932e8142	Name the major battlefronts of World War II and provide a brief overview of the key events in each.
c6707339a044ae15	What are the 4 most populous countries in the world and what are their most spoken languages?
4f6a9d771a7df888	What are the five categories of the 65th Annual Grammy Awards and who is the winner for each category?
c58ac65553f24640	What is the most common graduate school attended by cabinet members of the current US President?
a040ce757ab2fa7e	What universities did the general managers of the top three performing teams by record in the Eastern and Western conferences in the 2022-2023 season attend?
588652099ffb39c9	What were the box office revenues for the top 5 highest-grossing movies worldwide in billions of dollars?
32efcc61ea1906c5	What are the top 5 most popular cereal brands by sales, and in what year were they founded?
83c8ef40f22c9f72	Can you provide the orbit speed (km/s) about the planets in our solar system?
6892ea25e6eb5793	What are the members of the C9 League in China and what years were they founded?
ebe557cd696ab6ea	Which teams have won NBA championships in the past five years?
d5f4114adc783bc4	What is the weight range in pounds of Alaskan Huskies, Golden Retrievers, Shiba Inus, Poodles, and German Shepherds?
7c8a0bc721d88c48	What is the duration in minutes and seconds of the top 5 songs on the Billboard Year-End Hot 100 singles list of 2022?
82f6e566e5b1e857	What teams are the top 5 picks from the 2017 NBA draft currently on?
a0145adeb52b3061	What were the magnitudes on the Richter scale of the largest earthquakes that occurred in the five most populous countries after 1850?
8c33168addde69db	Who are the owners of the top five largest companies by revenue?
d69d3c78f0e57713	What years were the top 5 universities in the UK, as ranked by The Complete University Guide in 2024, established?
542983d2cb1630e0	Who are the judges in the supreme court right now and where did each judge get their undergraduate degree?
7b10fd58935f2b2d	What are the birthdays of the band members that won the Juno Award for Alternative Album of the Year in 2014?
832589258f8bf42e	Find the James Bond films relased after the year of 2000. What are the names of those films and their running times in minutes?
965bcc6c98740a4d	What is the population of each of the five most populous continents in the world, in billions or millions as appropriate?
f8734ed40a97fcd2	Of the main cast of the sitcom 'How I Met Your Mother', who appeared in the most films?
43c8c96b55ba2d48	Find the players that have retired numbers at Miami Heat. Who are these players and what are their career points?
185dc83dc9c0ac4b	How many undergraduate students are enrolled at each of the 5 largest public universities in the US by enrollment?
37c361ce0ecc3540	What is the land mass of China, USA, Canada, Australia and France?
d7ab22740996aea9	What is the predominant religion practiced in countries where there have been recorded instances of raining fish, and which religion's followers experience this phenomenon the most?
00f4666b3a099c5a	What are the capital cities of the five most populous countries in Europe?
2209fedf425b575d	What are the genres of the top 5 selling ongoing manga series with at least 100 million copies sold
d8f633bf1b1c7ae9	What are the 5 largest states in France, and what is their population?
06196bbd8bcf87e6	Where are the best-selling female rappers from?
4fa7d62c95ed296f	Which US state capital, bordering the Pacific Ocean, has the highest average rainfall?
d248660f4582a000	Who were the doctoral advisors of the Nobel Prize in Physics winners for the years 2020 and 2022, if applicable?
08e133f569491938	What are the birthplaces of the current top 5 singles tennis players in the ATP rankings?
90d445f356ef0d2d	What are the top 5 most watched Netflix series in their first 28 days and how many episodes does each series have?
258f06111ca64e70	What are the country calling codes of the 5 most populous countries in the world?
ccf5ad3c45eabe40	How old are the Japanese voice actors for the second year students in Tokyo Prefectural Jujutsu High School in the anime Jujutsu Kaisen?
a46a16ef82d421f7	What are the official languages of the five smallest countries in Europe by land area?
07381c55a61df50a	Who are the five cast members with the longest tenures on Saturday Night Live (SNL), and what are their respective birth years?
c70f85b1315be7ed	Among the Ivy League universities, which four have the lowest endowments and how many Nobel laureates do each of them have?
0d90e4035372e84d	Who won the most MVPs among the top 5 scorers in the NBA?
d098623a8b75ec0a	Who are the lead vocalists for the five bands with the most album sales in rock history?
9079b63f36e57692	Identify the architects of five historical landmarks: the Eiffel Tower, the Sydney Opera House, the Taj Mahal, the Empire State Building, and the Parthenon.
60dfc43f12d6c0ae	What record labels were the top 5 highest selling digital singles of all time released on?
325c089ef7ff9585	Who are the top four female CEOs in the current Fortune 500 companies, ranked by the Fortune 500 list, and which colleges did they attend for their undergraduate studies?
6434b8553746f174	What are the native languages of the current prime ministers of the five smallest countries by land area?
dabeedf8fc8758ee	What is the population of the top five countries with the most Nobel laureates?
870881b3ef7e2866	Who were the directors of movies that grossed over $700 million in 2023, and when did they direct their first movie? (Sort the directors from the one who directed their first movie earliest to the most recent.)
dd7d06982ab27248	What are the countries of birth of the first five Nobel Laureates in Literature?
a66e5065c8bfe6c0	In the last decade, in which year did the fewest California wildfires occur?
1fb9003757829127	Find the tallest building in the 5 most populous cities in India?
d001e4f3d27fac66	What are the official languages of the G7 countries that are not part of the European Union?
7c6edfe35e844a5d	Which actors playing characters in the Fellowship of the Ring in the 'Lord of the Rings' film trilogy have been nominated for an academy award?
8f0c326505148464	What are the elevations (in meters) and names of the sources of the five longest rivers in the world?
71f9599c4a3f383e	What are the top 5 highest selling video games in history and what are their respective genres?
75b12eb559b14d61	Who were the first five astronauts to land on the moon and what were their birth states?
c64872786e1a2ab6	Identify the host cities of the Summer Olympic Games from 2000 to 2020 and name the main stadiums used in each of these Olympics.
cbbb1450f8d4f36b	List the 5 largest automotive manufacturers by production volume in 2010 and provide the year each company was founded.
486e7defa1fa1ca0	What are the five most popular dog breeds according to the American Kennel Club, and where did each of these breeds originate?
673d82368b23a8f4	When were each of the specialized high schools in New York City founded?
5005d1fd42728241	Where were the top 5 artists on Spotify in 2019 born?
