ea13b944bf63feae	How many countries can the top 5 strongest passport holders travel to in 2023?
3776573bca884446	What are some landmarks in US zip codes with an average income of over $200,000?
a0216c68b94f857e	What is the life expectancy in years for the top four most populous countries?
cd8d5b0815694ab4	What are the ages of the top 5 most followed people on Instagram?
3cf6c1c1972eda92	What is the page count for each of the books in the five largest book deals?
98ced84a1a9df028	List the films directed by the director with the second highest career film gross worldwide and provide the budget for each film in USD.
0055931d81c8e924	What are the publication dates for all of the Harry Potter books?
d11c34cb07023486	Who was the starting quarterback for the New York Jets in 2015, what other teams did he play for, and who were the head coaches of those teams?
c4c57d0e2a79f7fc	What is the smallest country by population that has won multiple UEFA European Championship?
a7fe86980b21b34f	What was the founding year for each university or other institute of learning that Robert Burns Woodward received an honorary doctorate from?
9543466daff141b6	What are the largest cosmetic companies and when were they founded?
8e81a07900fc95ad	Who was the head of government in the countries that won each of the last 5 FIFA World Cups at the time of their victories?
8db473b084f2b5e8	Who are the presidents/rectors of the 5 oldest, continuously operating German universities?
3eb1b4b146c90359	How many career rushing attempts do the first 5 running backs picked in the 2005 NFL draft each have?
1011a17b0afd13e9	What is the surface gravity of each of the major planets in the solar system, expressed in relation to Earth's gravity?
22aedb862db0732c	"What were the debut roles of the main actors in the sitcom ""Friends""?"
5115636442f351f2	List the names of the main actors in the TV show 'Friends' along with their birthdays.
e64c9ad500706aa3	In what countries were the top 5 most sold books published?
9c174172a4865318	What was the population in 2010 of the 5 current most populous cities in Brazil?
a0031438b736bc73	How many children do the five oldest justices of the current United States Supreme Court have, listed in no particular order?
99b2c27ef3524e10	Who are the founders of the five largest companies by revenue in 2023?
8dd202edb48d9e6d	What are the record high temperatures in Celcius in the top 5 most populous cities in the world?
bcf7502e3c4716b8	What are the lengths in kilometers of the longest rivers in the five countries with the largest land area?
fa599c99bdc4ca27	Who are Singapore's most recent five deputy prime ministers (chronological order), and which university did they each attend?
291b1c294b1a69a7	List the populations of the four cities where Lionel Messi last played club soccer.
d74222cba26f3a21	What is the Human Development Index ranking of NATO member states that joined NATO after 2005?
d44a53d2d8fe82c6	Which of the shapes listed under the common variations of dice shapes is not a Platonic solid?
065b97c2df131209	Who are the current head coaches of the 6 NFL teams with the most Super Bowl wins?
3590f8178fec483b	In what cities were the top five goalscorers of FC Barcelona born?
1244f9eb0096a5f2	What are the 5 countries with the highest reported cases of COVID-19 and when did the outbreak begin in each of these countries?
cc4e6774f97b0101	Which heads of state of the founding countries of the European Union are older than 80 years old?
dfc6679e70dc0854	List the female winners of the Nobel Prize in 2019 or 2020 and specify the category they won in.
12a65a9f0f9190c0	What is the percentage of Asians in the population of each borough of New York City in 2020?
bb5b7ff52cf4567b	What are the four oldest Ivy League universities and who is the provost for each of them?
693619f2f644eacd	How many children does each of the top 5 wealthiest Americans have?
a284cc925636d80b	Which actors played Spider-man in the latest live-action Spider-man movie, and who directed their respective Spider-man movies?
c51b94d41576255d	What are the capital cities of the seven largest islands in the world?
d88a046051e878a4	What was the population in 1980 of the five most populous states in the United States?
11f79563a6d1f4fa	Who were the founders of the 5 most valuable brands according to Kantar?
8d2bb1a2fbcab9d4	Find the richest 5 people in the world. Which university/high school did they graduate from?
7ae1b4fff7374d6d	Who are the top 5 US athletes with the most Olympic medals and in what years were they born?
21031bb074213f22	Who are the current owners of the top 5 most-visited websites?
36d5935e429d2333	Which borough is Taylor Swift born in and what are the birth dates of the town's other 5 notable people?
c0ca99cbbb908c7d	When were the top 5 most translated authors born?
844997c932888c54	What are the birth years of the last five solo Pritzker Prize winners?
3925d5c953644a2f	What are the undergraduate alma maters of the actors who played main characters in the last season of Suits?
182b4a71e4ada225	Who is the General Manager for each of the four teams that won the world series most recently?
36ca6edd0420b273	Out of the top 5 Formula 1 drivers with the most race wins, who was born before 1990?
05451952c20e474b	Identify the inventors of five key 20th-century inventions: the airplane, the internet, the personal computer, the mobile phone, and the digital camera.
0d8d39017fbbd9b9	Who directed the highest grossing film each year from 1996 to 2000?
66d8b25fb1cc7141	List the universities that made it to the Final Four in the 2019, 2021, 2022, and 2023 NCAA Men's Basketball Championships along with their team mascots.
f83b8cb27cceafc1	What are the running times in minutes of the five most recent Indian Academy Award winners and nominees?
6492d086356c3988	Who are the main characters in J.K. Rowling's most popular book series, and when are their birthdays?
eb125c4757874b8f	What years were the 5 most popular newspapers in the US founded?
c91cb8efeedea700	Of the countries with a head of state assuming office prior to 2000, which are the five with the largest GDP per capita?
22892e5a38e781cc	Which Ivy League universities have female presidents?
6c76196b5b7f6646	Who are the directors of the top 5 highest-grossing animated films of all time?
c898b5f658c13b95	Which of the US states have animals on their flags?
5e660d80b1608a8a	Which universities did the female senators appointed in 2020 and onwards attend for their bachelor's degrees?
8e62c5c69ce8c58d	Which currently sitting US Supreme Court Justices graduated from a top 14 law school?
3d0739b161908b67	What are the U.S. stock tickers for the five U.S. companies with the highest revenue?
1917958c16bb6324	What are the 5 longest rivers in Asia, in which countries do they originate, and what are the capitals of those countries?
