0	who got the first nobel prize in physics
1	when is the next deadpool movie being released
2	which mode is used for short wave broadcast service
3	the south west wind blows across nigeria between
4	what does hp mean in war and order
5	who wrote the first declaration of human rights
6	who is the owner of reading football club
7	when is the next scandal episode coming out
8	when is the last time the philadelphia won the superbowl
9	who was the first lady nominated member of the rajya sabha
10	what is the most current adobe flash player version
11	swan lake the sleeping beauty and the nutcracker are three famous ballets by
12	how many episodes are there in dragon ball z
13	cast of law & order special victim unit
14	who designed the garden city of new earswick
15	what is the first step in the evolution of the eye
16	where is the tv show the curse of oak island filmed
17	where is gall bladder situated in human body
18	who is the current director of the us mint
19	who was named african footballer of the year 2014
20	what is the main mineral in lithium batteries
21	right to property according to the constitution of india is a
22	who is the president of usa right now
23	what part of the brain is in the middle cranial fossa
24	where do the greasers live in the outsiders
25	who died in the plane crash greys anatomy
26	where do they grow hops in the us
27	what's the dog's name on tom and jerry
28	in which regions are most of africa petroleum and natural gas found
29	in which sea pearl is found in india
30	panda is a national animal of which country
31	how many countries are a part of opec
32	what type of car is a jeep considered
33	who did deion sanders go in the hall of fame as
34	what is the name of manchester united stadium
35	who played the mother in the black stallion
36	who sings the theme song for the proud family
37	who wrote cant get you out of my head lyrics
38	who is rose in the fall season 2
39	where does the story the great gatsby take place
40	when did the dallas cowboys win their last playoff game
41	who may be affected by monetary penalties imposed by the irs
42	who turned out to be the mother on how i met your mother
43	what is the corporate tax rate in great britain
44	what is the meaning of the name sinead
45	what network is showing the monday night football game
46	what is the form of mozart symphony no 40
47	what was the city of beijing previously known as
48	when is the fourth movie of the divergent series coming out
49	who will take the throne after the queen dies
50	who is the girl in green day 21 guns
51	what are the zords in the power rangers movie
52	who plays the voice of johnny in sing
53	what are three different types of hotel properties
54	who decides the number of judges in the high court
55	name the process of fusion of an egg with a sperm
56	the vascular layer of the eye is the
57	the cuban revolt against spain was led by
58	when was the first documented case of tool mark identification
59	who has won the mens singles title in the australian open tennis tournament
60	who has been ranked no. 1 in the latest football rankings announced by fifa
61	when did beds become popular in france and germany
62	who wrote the song the glory of love
63	who wrote the book the origin of species
64	who sang rip it up and start again
65	where are the winter olympics and when do they start
66	when does the miz and maryse show start
67	where was the first season of slasher filmed
68	who said if a tree falls in the woods and nobody hears it
69	turkish finnish and hungarian belong to which family of languages
70	what is the point of a menstrual cup
71	a bond that the issuer has the right to pay off before its maturity date
72	when did united states enter world war i
73	who has given the theory of unbalanced economic growth
74	where did the term spirits for alcohol come from
75	who led the soldiers in ending the raid on the harper's ferry arsenal
76	when did disney art of animation resort open
77	where would a subcutaneous injection be made in the skin
78	where are most nutrients absorbed in the human digestive tract
79	when do primary ossification centers appear in an embryo
80	where does kevins family go in home alone 2
81	when is season 2 of jessica jones being released
82	who is the most losing team in nfl history
83	what are the top five wine producing states
84	what is final season of game of thrones
85	vikram samvat calender is official in which country
86	who wrote there's a guy works down the chip shop lyrics
87	what is the weight of a honda fit
88	an edge that is between a vertex and itself is a
89	when does the little couples new season start
90	how tall is the actor who plays hagrid in harry potter
91	what is the job of justice of the peace
92	who won the oscar for best picture in 1976
93	who has trained the most melbourne cup winners
94	who was involved in the mapp vs ohio case
95	who was kat slater's sisters in eastenders
96	the cast of a good day to die hard
97	uruguay is located along what body of water
98	when did the philadelphia eagles play in the super bowl last
99	what is the cross on a letter t called
